# Nmap 7.60 scan initiated Wed Apr  4 20:03:54 2018 as: nmap -p 139,445 -v -oG nmap.txt 192.168.91.0/24
# Ports scanned: TCP(2;139,445) UDP(0;) SCTP(0;) PROTOCOLS(0;)
Host: 192.168.91.155 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.156 () Status: Up
Host: 192.168.91.156 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.157 () Status: Up
Host: 192.168.91.157 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.158 () Status: Up
Host: 192.168.91.158 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.159 () Status: Up
Host: 192.168.91.159 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.160 () Status: Up
Host: 192.168.91.160 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.161 () Status: Up
Host: 192.168.91.161 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.162 () Status: Up
Host: 192.168.91.162 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.163 () Status: Up
Host: 192.168.91.163 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.164 () Status: Up
Host: 192.168.91.164 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.165 () Status: Up
Host: 192.168.91.165 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.166 () Status: Up
Host: 192.168.91.166 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.167 () Status: Up
Host: 192.168.91.167 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.168 () Status: Up
